type,basisOfRecord,ocurrenceID,rightsHolder,institutionID,institutionCode,collectionCode,datasetName,catalogNumber,recordedBy,sex,lifeStage,reproductiveCondition,molt,eventDate,year,month,day,habitat,habitatVerbatim,country,countryCode,county,municipality,locality,verbatimLocality,elevation,decimalLatitude,decimalLongitude,geodeticDatum,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,scientificName,acceptedNameUsage,Kingdom,phylum,class,order,family,genus,scientificNameAutorship,vernacularNameEnglish,migratoryStatus,weight,weightUnit,weightVerbatim,totalCulmen,totalCulmenUnit,totalCulmenVerbatim,billDepth,billDepthUnit,billDepthVerbatim,billWidth,billWidthUnit,billWidthVerbatim,gape,gapeUnit,gapeVerbatim,wingLength,wingLengthUnit,wingLengthVerbatim,tailLength,tailLengthUnit,tailLengthVerbatim,tarsusLength,tarsusLengthUnit,tarsusLengthVerbatim,totalLength,totalLengthUnit,totalLengthVerbatim
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01358,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01358,"LFSR, DPG, AHJ, RRS",Undetermined,Adult,Non-reproductive,No molt present,2008-10-16,2008,10,16,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Scytalopus spillmanni,Scytalopus spillmanni,Animal,Chordata,Aves,Passeriformes,Rhinocryptidae,Scytalopus,"(Stresemann, 1937)",Spillmann's Tapaculo,Resident,22.5,g,,15.9,mm,,3.8,mm,,,,,7.3,mm,,57,mm,,41,mm,,24.3,mm,,137,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01359,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01359,"LFSR, DPG, AHJ, RRS",Undetermined,Adult,Reproductive,Body molt,2008-10-16,2008,10,16,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Henicorhina leucophrys,Henicorhina leucophrys,Animal,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,"(Tschudi, 1844)",Gray-breasted Wood-Wren,Resident,14.9,g,,19.1,mm,,3.5,mm,,,,,7,mm,,53,mm,,30,mm,,25.1,mm,,121,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01360,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01360,"LFSR, DPG, AHJ, RRS",Undetermined,Adult,Non-reproductive,Flight feather and body molt,2008-11-05,2008,11,5,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Henicorhina leucophrys,Henicorhina leucophrys,Animal,Chordata,Aves,Passeriformes,Troglodytidae,Henicorhina,"(Tschudi, 1844)",Gray-breasted Wood-Wren,Resident,,,,15.7,mm,,2.9,mm,,,,,7.4,mm,,51,mm,,29,mm,,21.9,mm,,111,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01362,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01362,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Heliangelus exortis,Heliangelus exortis,Animal,Chordata,Aves,Apodiformes,Trochilidae,Heliangelus,"(Fraser, 1840)",Tourmaline Sunangel,Resident,4.8,g,,22.8,mm,,2.1,mm,,,,,5.5,mm,,,,,32,mm,,,,,95,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01363,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01363,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Heliangelus exortis,Heliangelus exortis,Animal,Chordata,Aves,Apodiformes,Trochilidae,Heliangelus,"(Fraser, 1840)",Tourmaline Sunangel,Resident,4.8,g,,22,mm,,1.4,mm,,,,,2.9,mm,,61,mm,,45,mm,,,,,103,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01364,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01364,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Adelomyia melanogenys,Adelomyia melanogenys,Animal,Chordata,Aves,Apodiformes,Trochilidae,Adelomyia,"(Fraser, 1840)",Speckled Hummingbird,Resident,,,,19.6,mm,,1.6,mm,,,,,3.8,mm,,50,mm,,32,mm,,,,,96,mm,outlier
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01365,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01365,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-05,2008,11,5,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Heliangelus exortis,Heliangelus exortis,Animal,Chordata,Aves,Apodiformes,Trochilidae,Heliangelus,"(Fraser, 1840)",Tourmaline Sunangel,Resident,5,g,,24.2,mm,,1.8,mm,,,,,5,mm,,58,mm,,,,,,,,,,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01366,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01366,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Heliangelus exortis,Heliangelus exortis,Animal,Chordata,Aves,Apodiformes,Trochilidae,Heliangelus,"(Fraser, 1840)",Tourmaline Sunangel,Resident,4.7,g,,20.6,mm,,2.1,mm,,,,,5.6,mm,,58,mm,,38,mm,,,,,115,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01367,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01367,"LFSR, DPG, AHJ, RRS",Undetermined,Inmature,Non-reproductive,No molt present,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Ochthoeca cinnamomeiventris,Ochthoeca cinnamomeiventris,Animal,Chordata,Aves,Passeriformes,Tyrannidae,Ochthoeca,"(Lafresnaye, 1843)",Slaty-backed Chat-Tyrant,Resident,11.9,g,,12.4,mm,,3.4,mm,,,,,10,mm,,62,mm,,61,mm,,16.7,mm,,136,mm,
PhysicalObject,HumanObservation,UCa:LabEcol:Aves:HOC:UCa01368,Universidad de Caldas,Universidad de Caldas,UCa,Aves:HOC,AlderPlantations (UCa Project Nº 000414),Aves:HOC:UCa01368,"LFSR, DPG, AHJ, RRS",Male,Adult,Non-reproductive,Flight feather and body molt,2008-11-06,2008,11,6,ForestPlantation,Forest plantation (Alnus acuminata Kunth),Colombia,CO,Caldas,Villamaría,,Reserva Forestal Protectora Bosques de la CHEC,2777,5.021426,-75.394362,WGS84,5°01'17.13'' N 75°23'39.70'' W,5°01'17.13'' N,75°23'39.70'' W,UTM18,Diglossa albilatera,Diglossa albilatera,Animal,Chordata,Aves,Passeriformes,Thraupidae,Diglossa,"(Lafresnaye, 1843)",White-sided Flowerpiercer,Resident,11.1,g,,14.9,mm,,4.2,mm,,,,,5.5,mm,,60,mm,,49,mm,,20,mm,,130,mm,
